"location","date","total_cases","population","percentage_cases_population"
Brazil,"2020-02-26",1.0,215313504,0.0
Brazil,"2020-02-27",1.0,215313504,0.0
Brazil,"2020-02-28",1.0,215313504,0.0
Brazil,"2020-02-29",2.0,215313504,0.0
Brazil,"2020-03-01",2.0,215313504,0.0
Brazil,"2020-03-02",2.0,215313504,0.0
Brazil,"2020-03-03",2.0,215313504,0.0
Brazil,"2020-03-04",4.0,215313504,0.0
Brazil,"2020-03-05",4.0,215313504,0.0
Brazil,"2020-03-06",13.0,215313504,0.00001
Brazil,"2020-03-07",13.0,215313504,0.00001
Brazil,"2020-03-08",20.0,215313504,0.00001
Brazil,"2020-03-09",25.0,215313504,0.00001
Brazil,"2020-03-10",31.0,215313504,0.00001
Brazil,"2020-03-11",38.0,215313504,0.00002
Brazil,"2020-03-12",52.0,215313504,0.00002
Brazil,"2020-03-13",151.0,215313504,0.00007
Brazil,"2020-03-14",151.0,215313504,0.00007
Brazil,"2020-03-15",162.0,215313504,0.00008
Brazil,"2020-03-16",200.0,215313504,0.00009
Brazil,"2020-03-17",321.0,215313504,0.00015
Brazil,"2020-03-18",372.0,215313504,0.00017
Brazil,"2020-03-19",621.0,215313504,0.00029
Brazil,"2020-03-20",793.0,215313504,0.00037
Brazil,"2020-03-21",1021.0,215313504,0.00047
Brazil,"2020-03-22",1546.0,215313504,0.00072
Brazil,"2020-03-23",1924.0,215313504,0.00089
Brazil,"2020-03-24",2247.0,215313504,0.00104
Brazil,"2020-03-25",2554.0,215313504,0.00119
Brazil,"2020-03-26",2985.0,215313504,0.00139
Brazil,"2020-03-27",3417.0,215313504,0.00159
Brazil,"2020-03-28",3904.0,215313504,0.00181
Brazil,"2020-03-29",4256.0,215313504,0.00198
Brazil,"2020-03-30",4579.0,215313504,0.00213
Brazil,"2020-03-31",5717.0,215313504,0.00266
Brazil,"2020-04-01",6836.0,215313504,0.00317
Brazil,"2020-04-02",8044.0,215313504,0.00374
Brazil,"2020-04-03",9056.0,215313504,0.00421
Brazil,"2020-04-04",10360.0,215313504,0.00481
Brazil,"2020-04-05",11130.0,215313504,0.00517
Brazil,"2020-04-06",12161.0,215313504,0.00565
Brazil,"2020-04-07",14034.0,215313504,0.00652
Brazil,"2020-04-08",16170.0,215313504,0.00751
Brazil,"2020-04-09",18092.0,215313504,0.0084
Brazil,"2020-04-10",19638.0,215313504,0.00912
Brazil,"2020-04-11",20727.0,215313504,0.00963
Brazil,"2020-04-12",22192.0,215313504,0.01031
Brazil,"2020-04-13",23430.0,215313504,0.01088
Brazil,"2020-04-14",25262.0,215313504,0.01173
Brazil,"2020-04-15",28320.0,215313504,0.01315
Brazil,"2020-04-16",30425.0,215313504,0.01413
Brazil,"2020-04-17",33682.0,215313504,0.01564
Brazil,"2020-04-18",36658.0,215313504,0.01703
Brazil,"2020-04-19",38654.0,215313504,0.01795
Brazil,"2020-04-20",40743.0,215313504,0.01892
