"location","max_inffection_count","infection_rate"
United States,100303927,29.65029
India,44677902,3.15261
France,39115139,57.68089
Germany,37177845,44.59388
Brazil,36092845,16.76293
South Korea,28534558,55.06921
Japan,27787924,22.41835
Italy,24884034,42.14956
United Kingdom,24135084,35.75095
Russia,21435797,14.8126
Turkey,16919638,19.82586
Spain,13651239,28.70402
Vietnam,11523780,11.73658
Australia,11068107,42.28114
Argentina,9829236,21.59782
Taiwan,8644555,36.17968
Netherlands,8569971,48.79276
Iran,7560667,8.53825
Mexico,7196485,5.64412
Indonesia,6713879,2.43697
Poland,6364049,15.96715
Colombia,6322281,12.18776
Austria,5668157,63.40492
Ukraine,5657885,14.25097
Portugal,5554058,54.0759
Greece,5548487,53.42804
Malaysia,5021242,14.79524
Chile,4997056,25.49032
Israel,4754246,50.31481
Thailand,4718908,6.58173
Belgium,4668248,40.05044
Czechia,4576016,43.60606
Canada,4493472,11.68522
Peru,4434630,13.02403
Switzerland,4386815,50.18969
Philippines,4059369,3.51281
Denmark,3379211,57.4475
Romania,3305048,16.81165
Sweden,2665176,25.26389
Slovakia,2655504,47.05458
Iraq,2465107,5.54005
Serbia,2440825,35.52075
Hong Kong,2421943,32.3406
Singapore,2193890,38.91931
Hungary,2181419,21.88575
New Zealand,2062719,39.78021
Bangladesh,2037003,1.18993
China,1909905,0.13395
Georgia,1808820,48.30753
Jordan,1746997,15.4795
Ireland,1687668,33.59808
Pakistan,1575651,0.66814
Kazakhstan,1488306,7.67247
Norway,1473504,27.11476
Finland,1438205,25.95689
Slovenia,1296066,61.13972
Bulgaria,1290967,19.03532
Lithuania,1285267,46.736
Morocco,1271097,3.39339
Croatia,1260837,31.28348
Lebanon,1221874,22.25739
Guatemala,1193391,6.68794
Costa Rica,1156497,22.32259
Tunisia,1147477,9.28671
Bolivia,1143829,9.35715
Cuba,1111757,9.9156
United Arab Emirates,1046418,11.0836
Ecuador,1031449,5.72995
Panama,1020961,23.15849
Mongolia,1007250,29.63918
Uruguay,1002988,29.30318
Nepal,1000962,3.27673
Belarus,994037,10.42519
Latvia,972195,52.53251
Saudi Arabia,826711,2.27063
Azerbaijan,825737,7.97191
Paraguay,781111,11.51955
Palestine,703228,13.39463
Bahrain,698136,47.42008
Sri Lanka,671838,3.07729
Kuwait,662747,15.52506
Dominican Republic,655540,5.83801
Myanmar,633590,1.16943
Cyprus,625562,69.81664
Estonia,611291,46.09815
Moldova,596193,18.21553
Venezuela,549548,1.94175
Egypt,515645,0.46459
Libya,507121,7.44415
Ethiopia,496778,0.40264
Qatar,487321,18.08153
Honduras,463685,4.44447
Armenia,445881,16.03616
Bosnia and Herzegovina,400867,12.39719
Oman,399154,8.7222
North Macedonia,345402,16.49795
Kenya,342444,0.63383
Zambia,333905,1.66805
Albania,333708,11.7407
Botswana,328760,12.49895
Luxembourg,311435,48.09057
Mauritius,289980,22.31511
Montenegro,284472,45.3644
Kosovo,272243,15.2764
Algeria,271190,0.60394
Brunei,266819,59.4249
Nigeria,266381,0.12189
Zimbabwe,259981,1.59297
Uzbekistan,249139,0.71948
Mozambique,230918,0.7004
Laos,217611,2.89012
Iceland,207974,55.77161
Afghanistan,207239,0.50388
Kyrgyzstan,206557,3.1152
El Salvador,201785,3.18454
Trinidad and Tobago,185882,12.14087
Maldives,185666,35.44611
Ghana,171038,0.51093
Namibia,170181,6.62951
Uganda,169810,0.35939
Jamaica,152758,5.40281
Cambodia,138467,0.82579
Rwanda,132920,0.96482
Cameroon,123993,0.44419
Malta,116196,21.7884
Angola,104973,0.29496
Barbados,104944,37.26096
Democratic Republic of Congo,94970,0.09592
Senegal,88896,0.51336
Malawi,88220,0.43234
Cote d'Ivoire,87919,0.31221
Suriname,81581,13.19983
