"date","new_cases","new_deaths","death_percentage"
"2020-01-01",0.0,0.0,
"2020-01-02",0.0,0.0,
"2020-01-03",0.0,0.0,
"2020-01-04",0.0,0.0,
"2020-01-05",0.0,0.0,
"2020-01-06",0.0,0.0,
"2020-01-07",0.0,0.0,
"2020-01-08",0.0,0.0,
"2020-01-09",0.0,0.0,
"2020-01-10",0.0,0.0,
"2020-01-11",0.0,0.0,
"2020-01-12",0.0,0.0,
"2020-01-13",0.0,0.0,
"2020-01-14",0.0,0.0,
"2020-01-15",0.0,0.0,
"2020-01-16",0.0,0.0,
"2020-01-17",0.0,0.0,
"2020-01-18",0.0,0.0,
"2020-01-19",0.0,0.0,
"2020-01-20",0.0,0.0,
"2020-01-21",0.0,0.0,
"2020-01-22",0.0,0.0,
"2020-01-23",100.0,1.0,1.0
"2020-01-24",287.0,8.0,2.79
"2020-01-25",493.0,16.0,3.25
"2020-01-26",683.0,14.0,2.05
"2020-01-27",809.0,26.0,3.21
"2020-01-28",2651.0,49.0,1.85
"2020-01-29",589.0,2.0,0.34
"2020-01-30",2068.0,39.0,1.89
"2020-01-31",1690.0,42.0,2.49
"2020-02-01",2111.0,46.0,2.18
"2020-02-02",4749.0,104.0,2.19
"2020-02-03",3100.0,64.0,2.06
"2020-02-04",4012.0,66.0,1.65
"2020-02-05",3745.0,72.0,1.92
"2020-02-06",3162.0,70.0,2.21
"2020-02-07",3533.0,85.0,2.41
"2020-02-08",2731.0,87.0,3.19
"2020-02-09",3028.0,100.0,3.3
"2020-02-10",2538.0,107.0,4.22
"2020-02-11",2043.0,100.0,4.89
"2020-02-12",378.0,5.0,1.32
"2020-02-13",15152.0,253.0,1.67
"2020-02-14",6485.0,152.0,2.34
"2020-02-15",2076.0,143.0,6.89
"2020-02-16",2113.0,104.0,4.92
"2020-02-17",1936.0,98.0,5.06
"2020-02-18",1794.0,140.0,7.8
"2020-02-19",421.0,115.0,27.32
"2020-02-20",548.0,123.0,22.45
"2020-02-21",630.0,4.0,0.63
"2020-02-22",1762.0,208.0,11.8
"2020-02-23",325.0,10.0,3.08
"2020-02-24",568.0,160.0,28.17
"2020-02-25",854.0,80.0,9.37
"2020-02-26",959.0,60.0,6.26
"2020-02-27",1344.0,43.0,3.2
"2020-02-28",1424.0,57.0,4.0
"2020-02-29",1871.0,70.0,3.74
"2020-03-01",2379.0,54.0,2.27
"2020-03-02",1980.0,90.0,4.55
"2020-03-03",2611.0,74.0,2.83
"2020-03-04",2322.0,96.0,4.13
"2020-03-05",2710.0,95.0,3.51
"2020-03-06",3930.0,114.0,2.9
"2020-03-07",4131.0,104.0,2.52
"2020-03-08",3852.0,242.0,6.28
"2020-03-09",4323.0,194.0,4.49
"2020-03-10",4782.0,275.0,5.75
"2020-03-11",7498.0,351.0,4.68
"2020-03-12",6752.0,321.0,4.75
"2020-03-13",13187.0,503.0,3.81
"2020-03-14",10874.0,426.0,3.92
"2020-03-15",11220.0,666.0,5.94
"2020-03-16",14556.0,715.0,4.91
"2020-03-17",15174.0,851.0,5.61
"2020-03-18",17500.0,954.0,5.45
"2020-03-19",27053.0,1144.0,4.23
"2020-03-20",29480.0,1575.0,5.34
"2020-03-21",32395.0,1808.0,5.58
"2020-03-22",34144.0,1830.0,5.36
"2020-03-23",42423.0,2096.0,4.94
"2020-03-24",41736.0,2424.0,5.81
"2020-03-25",51325.0,2971.0,5.79
"2020-03-26",60592.0,3256.0,5.37
"2020-03-27",63670.0,3637.0,5.71
"2020-03-28",69545.0,4049.0,5.82
"2020-03-29",56410.0,3818.0,6.77
"2020-03-30",64957.0,4367.0,6.72
"2020-03-31",78412.0,5166.0,6.59
"2020-04-01",86289.0,6641.0,7.7
"2020-04-02",82332.0,6242.0,7.58
"2020-04-03",84151.0,6496.0,7.72
"2020-04-04",77076.0,6590.0,8.55
"2020-04-05",71626.0,5918.0,8.26
"2020-04-06",74639.0,6427.0,8.61
"2020-04-07",72363.0,8514.0,11.77
"2020-04-08",82057.0,7215.0,8.79
"2020-04-09",87072.0,8153.0,9.36
"2020-04-10",86352.0,7734.0,8.96
"2020-04-11",75459.0,6981.0,9.25
"2020-04-12",118436.0,6514.0,5.5
"2020-04-13",71725.0,6510.0,9.08
"2020-04-14",84460.0,7357.0,8.71
"2020-04-15",78168.0,8758.0,11.2
"2020-04-16",94355.0,7694.0,8.15
"2020-04-17",87685.0,7589.0,8.65
"2020-04-18",77969.0,6425.0,8.24
"2020-04-19",76191.0,6098.0,8.0
"2020-04-20",76339.0,6507.0,8.52
"2020-04-21",75912.0,7197.0,9.48
"2020-04-22",81844.0,7268.0,8.88
"2020-04-23",84072.0,7262.0,8.64
"2020-04-24",93335.0,6831.0,7.32
"2020-04-25",83008.0,6041.0,7.28
"2020-04-26",70577.0,4816.0,6.82
"2020-04-27",70779.0,5443.0,7.69
"2020-04-28",75550.0,6624.0,8.77
"2020-04-29",78417.0,6970.0,8.89
"2020-04-30",83402.0,6254.0,7.5
"2020-05-01",88660.0,5580.0,6.29
"2020-05-02",78005.0,6007.0,7.7
"2020-05-03",73575.0,4268.0,5.8
"2020-05-04",77174.0,4837.0,6.27
"2020-05-05",79303.0,6137.0,7.74
"2020-05-06",90202.0,6758.0,7.49
"2020-05-07",89712.0,5861.0,6.53
"2020-05-08",91230.0,5935.0,6.51
"2020-05-09",83716.0,4910.0,5.87
"2020-05-10",74618.0,4330.0,5.8
"2020-05-11",75597.0,4066.0,5.38
"2020-05-12",84705.0,5739.0,6.78
"2020-05-13",83692.0,5424.0,6.48
"2020-05-14",94978.0,5731.0,6.03
"2020-05-15",95545.0,5748.0,6.02
"2020-05-16",93076.0,4527.0,4.86
"2020-05-17",77187.0,3875.0,5.02
"2020-05-18",88221.0,4374.0,4.96
"2020-05-19",95046.0,5160.0,5.43
"2020-05-20",104618.0,5379.0,5.14
"2020-05-21",104924.0,5005.0,4.77
"2020-05-22",106260.0,5677.0,5.34
"2020-05-23",102889.0,4443.0,4.32
"2020-05-24",92406.0,3461.0,3.75
"2020-05-25",87551.0,3562.0,4.07
"2020-05-26",91709.0,4736.0,5.16
"2020-05-27",100878.0,5192.0,5.15
"2020-05-28",118527.0,4967.0,4.19
"2020-05-29",119638.0,5122.0,4.28
"2020-05-30",133313.0,4329.0,3.25
"2020-05-31",101143.0,3249.0,3.21
"2020-06-01",98606.0,3722.0,3.77
"2020-06-02",121937.0,5213.0,4.28
"2020-06-03",112766.0,5584.0,4.95
"2020-06-04",135059.0,5471.0,4.05
"2020-06-05",130920.0,4997.0,3.82
"2020-06-06",126792.0,4096.0,3.23
"2020-06-07",108699.0,3211.0,2.95
"2020-06-08",100457.0,4373.0,4.35
"2020-06-09",123884.0,4963.0,4.01
"2020-06-10",134760.0,5380.0,3.99
"2020-06-11",133045.0,5068.0,3.81
"2020-06-12",124114.0,4674.0,3.77
"2020-06-13",130092.0,4323.0,3.32
"2020-06-14",127643.0,3725.0,2.92
"2020-06-15",121427.0,3979.0,3.28
"2020-06-16",141109.0,7062.0,5.0
"2020-06-17",139124.0,5428.0,3.9
"2020-06-18",139618.0,5292.0,3.79
"2020-06-19",177307.0,5088.0,2.87
"2020-06-20",180913.0,4436.0,2.45
"2020-06-21",108236.0,4591.0,4.24
"2020-06-22",138048.0,3806.0,2.76
"2020-06-23",163666.0,5457.0,3.33
"2020-06-24",165778.0,5426.0,3.27
"2020-06-25",172931.0,5023.0,2.9
"2020-06-26",186258.0,5035.0,2.7
"2020-06-27",169187.0,4663.0,2.76
"2020-06-28",162528.0,3576.0,2.2
"2020-06-29",146584.0,4001.0,2.73
"2020-06-30",176809.0,5122.0,2.9
"2020-07-01",207007.0,5249.0,2.54
"2020-07-02",196233.0,5412.0,2.76
"2020-07-03",193563.0,5135.0,2.65
"2020-07-04",178852.0,4721.0,2.64
"2020-07-05",177442.0,3665.0,2.07
"2020-07-06",159309.0,4168.0,2.62
"2020-07-07",199447.0,6168.0,3.09
"2020-07-08",206452.0,5532.0,2.68
"2020-07-09",210897.0,5728.0,2.72
"2020-07-10",220753.0,5607.0,2.54
"2020-07-11",199302.0,5018.0,2.52
"2020-07-12",180870.0,4206.0,2.33
"2020-07-13",182924.0,4334.0,2.37
"2020-07-14",210506.0,5804.0,2.76
"2020-07-15",217019.0,5819.0,2.68
"2020-07-16",231725.0,5956.0,2.57
"2020-07-17",224065.0,5828.0,2.6
"2020-07-18",222036.0,6389.0,2.88
"2020-07-19",198438.0,4828.0,2.43
"2020-07-20",198873.0,3803.0,1.91
"2020-07-21",234951.0,6179.0,2.63
"2020-07-22",262205.0,6828.0,2.6
"2020-07-23",266538.0,6504.0,2.44
"2020-07-24",269557.0,6192.0,2.3
"2020-07-25",237343.0,5772.0,2.43
"2020-07-26",200566.0,4271.0,2.13
"2020-07-27",227299.0,5023.0,2.21
"2020-07-28",256644.0,6745.0,2.63
"2020-07-29",258876.0,6408.0,2.48
"2020-07-30",270717.0,6461.0,2.39
"2020-07-31",276440.0,6394.0,2.31
"2020-08-01",236141.0,5864.0,2.48
"2020-08-02",222408.0,4476.0,2.01
"2020-08-03",200697.0,4657.0,2.32
"2020-08-04",260860.0,6832.0,2.62
"2020-08-05",266594.0,6990.0,2.62
"2020-08-06",278412.0,6528.0,2.34
"2020-08-07",275140.0,6449.0,2.34
"2020-08-08",257517.0,5739.0,2.23
"2020-08-09",226324.0,4996.0,2.21
"2020-08-10",229481.0,5165.0,2.25
"2020-08-11",263050.0,6485.0,2.47
"2020-08-12",272266.0,6693.0,2.46
"2020-08-13",286170.0,6533.0,2.28
"2020-08-14",300809.0,6300.0,2.09
"2020-08-15",244502.0,5911.0,2.42
